date,open,low,high,close,volume,change
16/12/2021,1476.61,1481.85,1482.32,1468.95,889612700,+1.11 (+0.08%)
15/12/2021,1475.5,1476.5,1481.67,1468.21,861484300,-0.52 (-0.04%)
14/12/2021,1476.02,1476.82,1485.14,1469.21,914795700,-0.19 (-0.01%)
13/12/2021,1476.21,1471.96,1481.7,1470.08,815155200,+12.67 (+0.87%)
10/12/2021,1463.54,1469.83,1475.85,1461.78,780120100,-4.44 (-0.30%)
09/12/2021,1467.98,1447.59,1467.98,1446.88,631261500,+15.11 (+1.04%)
08/12/2021,1452.87,1451.94,1460.28,1447.88,732009400,+6.10 (+0.42%)
07/12/2021,1446.77,1426.88,1446.77,1421.6,691695900,+33.19 (+2.35%)
06/12/2021,1413.58,1446.28,1452.55,1400.87,1013743700,-29.74 (-2.06%)
03/12/2021,1443.32,1489.54,1491.2,1443.32,1034480600,-38.73 (-2.61%)
02/12/2021,1482.05,1489.12,1493.84,1482.05,745629400,-3.14 (-0.21%)
01/12/2021,1485.19,1477.85,1487.68,1471.3,837551800,+6.75 (+0.46%)
30/11/2021,1478.44,1500.24,1503.09,1471.57,1049366600,-6.40 (-0.43%)
29/11/2021,1484.84,1464.83,1488.93,1464.83,983072000,-8.19 (-0.55%)
26/11/2021,1493.03,1506.69,1511.68,1488.83,1006637100,-7.78 (-0.52%)
25/11/2021,1500.81,1496.41,1505.36,1490.32,953098400,+11.94 (+0.80%)
24/11/2021,1488.87,1470.66,1491.05,1467.29,1073235900,+25.24 (+1.72%)
23/11/2021,1463.63,1442.66,1463.63,1438.41,839875300,+16.38 (+1.13%)
22/11/2021,1447.25,1452.3,1466.46,1442.85,1209419000,-5.10 (-0.35%)
19/11/2021,1452.35,1474.11,1481.53,1434.69,1490882800,-17.48 (-1.19%)
18/11/2021,1469.83,1479.39,1482.87,1469.83,1052200900,-6.02 (-0.41%)
17/11/2021,1475.85,1467.08,1477.04,1464.78,828629100,+9.40 (+0.64%)
16/11/2021,1466.45,1472.83,1476.97,1459.08,1157402400,-10.12 (-0.69%)
